ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
6785 - P&G,MAG5104434,MSG5104498,6785 - P&G,6785 - PG_SC,6785 - P&G
1982 BT P&G,MAG5104410,MSG5104471,1982 BT P&G,1982 BT PG_SC,1982 BT P&G
ANC-Yu & Partners Hong Kong,MAG5321022,MSG5321529,ANC-Yu & Partners Hong Kong,ANC-Yu  Partners Hong Kong_SC,ANC-Yu & Partners Hong Kong
Property# 5557 Starwood Hotels & Resorts,MAG5314692,MSG5314985,Property# 5557 Starwood Hotels & Resorts,Property# 5557 Starwood Hotels  Resor_SC,Property# 5557 Starwood Hotels & Resorts
7456 - P&G,MAG5104454,MSG5104518,7456 - P&G,7456 - PG_SC,7456 - P&G
7444 - P&G,MAG5104452,MSG5104516,7444 - P&G,7444 - PG_SC,7444 - P&G
7301 - P&G,MAG5104437,MSG5104501,7301 - P&G,7301 - PG_SC,7301 - P&G
7465 - P&G,MAG5104456,MSG5104520,7465 - P&G,7465 - PG_SC,7465 - P&G
7502 - P&G,MAG5104462,MSG5104526,7502 - P&G,7502 - PG_SC,7502 - P&G
K&N-India NDR Warehousing Internet VPN,,,K&N-India NDR Warehousing Internet VPN,KN-India NDR Warehousing Internet VPN_SC,KN-India NDR Warehousing Internet VPN_SC
K&N-India Ahmedabad,,,K&N-India Ahmedabad,KN-India Ahmedabad_SC,KN-India Ahmedabad_SC
ANC-H&K International AUS Wetherill,,,ANC-H&K International AUS Wetherill,ANC-HK International AUS Wetherill_SC,ANC-HK International AUS Wetherill_SC
ANC-Rouse & Co. Hong Kong,MAG5320677,MSG5321164,ANC-Rouse & Co. Hong Kong,ANC-Rouse  Co. Hong Kong_SC,ANC-Rouse & Co. Hong Kong
DSL_Air Berlin Plc & Co. Luftver_POVD031,,,DSL_Air Berlin Plc & Co. Luftver_POVD031,DSL_Air Berlin Plc  Co. Luftver_POVD0_SC,DSL_Air Berlin Plc  Co. Luftver_POVD0_SC
Ho Chi Minh City A&B Tower,CI00018024,CI00017942,Ho Chi Minh City A&B Tower,Ho Chi Minh City AB Tower_SC,Ho Chi Minh City A&B Tower
K&N-Fuzhou,CI00002862,CI00002851,K&N-Fuzhou,KN-Fuzhou_SC,K&N-Fuzhou
Mulhouse Erhard&Leimer,MAG5211164,MSG5211388,Mulhouse Erhard&Leimer,Mulhouse ErhardLeimer_SC,Mulhouse Erhard&Leimer
ANC-John W&S Malaysia Selangor,MAG5320315,MSG5320783,ANC-John W&S Malaysia Selangor,ANC-John WS Malaysia Selangor_SC,ANC-John W&S Malaysia Selangor
UPS Deutschland Inc. & co. OHG,,,UPS Deutschland Inc. & co. OHG,UPS Deutschland Inc.  co. OHG_SC,UPS Deutschland Inc.  co. OHG_SC
2615 -P&G,MAG5104413,MSG5104474,2615 -P&G,2615 -PG_SC,2615 -P&G
4701 -P&G,,,4701 -P&G,4701 -PG_SC,4701 -PG_SC
4984 - P&G,MAG5104420,MSG5104482,4984 - P&G,4984 - PG_SC,4984 - P&G
5726 - P&G,MAG5104425,MSG5104488,5726 - P&G,5726 - PG_SC,5726 - P&G
5881 - P&G,MAG5104430,MSG5104493,5881 - P&G,5881 - PG_SC,5881 - P&G
6517 - P&G,MAG5104432,MSG5104496,6517 - P&G,6517 - PG_SC,6517 - P&G
6709 - P&G,MAG5104433,MSG5104497,6709 - P&G,6709 - PG_SC,6709 - P&G
6787 - P&G,MAG5104435,MSG5104499,6787 - P&G,6787 - PG_SC,6787 - P&G
PROCTER & GAMBLE,,,PROCTER & GAMBLE,PROCTER  GAMBLE_SC,PROCTER  GAMBLE_SC
Prop#  225 Sheraton Riyadh Hotel & Tower,MAG5314584,MSG5314874,Prop#  225 Sheraton Riyadh Hotel & Tower,Prop#  225 Sheraton Riyadh Hotel  Tow_SC,Prop#  225 Sheraton Riyadh Hotel & Tower
B&DCH03,MAG5318328,MSG5318717,B&DCH03,BDCH03_SC,B&DCH03
Bentec Drilling & Oilfield Sys,,,Bentec Drilling & Oilfield Sys,Bentec Drilling  Oilfield Sys_SC,Bentec Drilling  Oilfield Sys_SC
L&T,MAG5319060,MSG5319464,L&T,LT_SC,L&T
DSL_PXRY037_Air Berlin Plc & Co.,,,DSL_PXRY037_Air Berlin Plc & Co.,DSL_PXRY037_Air Berlin Plc  Co._SC,DSL_PXRY037_Air Berlin Plc  Co._SC
K&N-India Tuticorin,,,K&N-India Tuticorin,KN-India Tuticorin_SC,KN-India Tuticorin_SC
Bangalore R&D,,,Bangalore R&D,Bangalore RD_SC,Bangalore RD_SC
B&DCH003,MAG5318325,MSG5318714,B&DCH003,BDCH003_SC,B&DCH003
B&DMX02,MAG5318354,MSG5318744,B&DMX02,BDMX02_SC,B&DMX02
B&DCZ01,MAG5318339,MSG5318728,B&DCZ01,BDCZ01_SC,B&DCZ01
35168_GBR_Slough_001,MAG5318361,MSG5318751,B&DUK01,BDUK01_SC,35168_GBR_Slough_001
SH ERS&IS,,,SH ERS&IS,SH ERSIS_SC,SH ERSIS_SC
ANC-John W&S Hong Kong,MAG5320313,MSG5320781,ANC-John W&S Hong Kong,ANC-John WS Hong Kong_SC,ANC-John W&S Hong Kong
9399 - P&G,MAG5104484,MSG5104548,9399 - P&G,9399 - PG_SC,9399 - P&G
B&DGE01,,,B&DGE01,BDGE01_SC,BDGE01_SC
B&DGE02,,,B&DGE02,BDGE02_SC,BDGE02_SC
B&DMX01,MAG5318353,MSG5318743,B&DMX01,BDMX01_SC,B&DMX01
K&N-India Lucknow,,,K&N-India Lucknow,KN-India Lucknow_SC,KN-India Lucknow_SC
ANC-John W&S Singapore Solaris,MAG5320319,MSG5320787,ANC-John W&S Singapore Solaris,ANC-John WS Singapore Solaris_SC,ANC-John W&S Singapore Solaris
ANC-John W&S Singapore NCS Data Centre,,,ANC-John W&S Singapore NCS Data Centre,ANC-John WS Singapore NCS Data Centre_SC,ANC-John WS Singapore NCS Data Centre_SC
ANC-John W&S Korea Seoul,MAG5320314,MSG5320782,ANC-John W&S Korea Seoul,ANC-John WS Korea Seoul_SC,ANC-John W&S Korea Seoul
ANC-John W&S Singapore Distribution Ctr,MAG5320317,MSG5320785,ANC-John W&S Singapore Distribution Ctr,ANC-John WS Singapore Distribution Ct_SC,ANC-John W&S Singapore Distribution Ctr
ANC-John W&S MY Selangor,CI00007114,CI00007070,ANC-John W&S MY Selangor,ANC-John WS MY Selangor_SC,ANC-John W&S MY Selangor
ANC-John W&S PH Pasig City,MAG5320316,MSG5320784,ANC-John W&S PH Pasig City,ANC-John WS PH Pasig City_SC,ANC-John W&S PH Pasig City
K&N-Manila Internet VPN,,,K&N-Manila Internet VPN,KN-Manila Internet VPN_SC,KN-Manila Internet VPN_SC
ANC-D&M Holdings China SZ,MAG5319789,MSG5320223,ANC-D&M Holdings China SZ,ANC-DM Holdings China SZ_SC,ANC-D&M Holdings China SZ
7449 - P&G,MAG5104453,MSG5104517,7449 - P&G,7449 - PG_SC,7449 - P&G
7459 - P&G,MAG5104455,MSG5104519,7459 - P&G,7459 - PG_SC,7459 - P&G
7520 - P&G,MAG5104466,MSG5104530,7520 - P&G,7520 - PG_SC,7520 - P&G
8042 - P&G,MAG5104475,MSG5104539,8042 - P&G,8042 - PG_SC,8042 - P&G
9935 - P&G,MAG5104489,MSG5104553,9935 - P&G,9935 - PG_SC,9935 - P&G
B&DHK02,MAG5318344,MSG5318734,B&DHK02,BDHK02_SC,B&DHK02
K&N-China Yangzhou,,,K&N-China Yangzhou,KN-China Yangzhou_SC,KN-China Yangzhou_SC
K&N-Dongguan,,,K&N-Dongguan,KN-Dongguan_SC,KN-Dongguan_SC
B&DNZ01,,,B&DNZ01,BDNZ01_SC,BDNZ01_SC
ANC-H&K International NZ,MAG5320092,MSG5320550,ANC-H&K International NZ,ANC-HK International NZ_SC,ANC-H&K International NZ
K&N-HAN,,,K&N-HAN,KN-HAN_SC,KN-HAN_SC
K&N-China Zhuhai,,,K&N-China Zhuhai,KN-China Zhuhai_SC,KN-China Zhuhai_SC
"SAGAMU & EWEKORO	",,,"SAGAMU & EWEKORO	","SAGAMU  EWEKORO	_SC","SAGAMU  EWEKORO	_SC"
IN005 - Carrefour Whole Sale Cash&Carry,MAG4212560,MSG4212742,IN005 - Carrefour Whole Sale Cash&Carry,IN005 - Carrefour Whole Sale CashCarr_SC,IN005 - Carrefour Whole Sale Cash&Carry
ANC-John W&S Taiwan,MAG5320320,MSG5320788,ANC-John W&S Taiwan,ANC-John WS Taiwan_SC,ANC-John W&S Taiwan
B&DFR01,MAG5318340,MSG5318729,B&DFR01,BDFR01_SC,B&DFR01
DSL_Air Berlin Plc & Co. Luftverk_PMAH01,,,DSL_Air Berlin Plc & Co. Luftverk_PMAH01,DSL_Air Berlin Plc  Co. Luftverk_PMAH_SC,DSL_Air Berlin Plc  Co. Luftverk_PMAH_SC
K&N-Beijing Capital Airport,MAY4142430,MSY4157450,K&N-Beijing Capital Airport,KN-Beijing Capital Airport_SC,K&N-Beijing Capital Airport
IN005b - Carrefour Whole Sale Cash & Car,MAG4212561,MSG4212743,IN005b - Carrefour Whole Sale Cash & Car,IN005b - Carrefour Whole Sale Cash  C_SC,IN005b - Carrefour Whole Sale Cash & Car
B&DAust01,,,B&DAust01,BDAust01_SC,BDAust01_SC
K&N-TPE Internet VPN,,,K&N-TPE Internet VPN,KN-TPE Internet VPN_SC,KN-TPE Internet VPN_SC
KRUELL MOTOR COMPANYGMBH&CO.KG,,,KRUELL MOTOR COMPANYGMBH&CO.KG,KRUELL MOTOR COMPANYGMBHCO.KG_SC,KRUELL MOTOR COMPANYGMBHCO.KG_SC
DSL_Air Berlin Plc & Co._PSCQ032,,,DSL_Air Berlin Plc & Co._PSCQ032,DSL_Air Berlin Plc  Co._PSCQ032_SC,DSL_Air Berlin Plc  Co._PSCQ032_SC
K&N-India Tamilnadu,MA09000008,MS09000008,K&N-India Tamilnadu,KN-India Tamilnadu_SC,K&N-India Tamilnadu
ANC-H&K International AUS SYD,MAG5320090,MSG5320548,ANC-H&K International AUS SYD,ANC-HK International AUS SYD_SC,ANC-H&K International AUS SYD
ZURICH FD Köster&Pauly Dinslaken,,,ZURICH FD Köster&Pauly Dinslaken,ZURICH FD KösterPauly Dinslaken_SC,ZURICH FD KösterPauly Dinslaken_SC
ZURICH FD Köster&Pauly Kleve,MAG4103397,MSG4103474,ZURICH FD Köster&Pauly Kleve,ZURICH FD KösterPauly Kleve_SC,ZURICH FD Köster&Pauly Kleve
DSL_Air Berlin Plc & Co. Luftver_PHAJ235,,,DSL_Air Berlin Plc & Co. Luftver_PHAJ235,DSL_Air Berlin Plc  Co. Luftver_PHAJ2_SC,DSL_Air Berlin Plc  Co. Luftver_PHAJ2_SC
DSL_Air Berlin Plc & Co. Luftve_PHAJ235,,,DSL_Air Berlin Plc & Co. Luftve_PHAJ235,DSL_Air Berlin Plc  Co. Luftve_PHAJ23_SC,DSL_Air Berlin Plc  Co. Luftve_PHAJ23_SC
503 - P&G,MAG5104422,MSG5104484,503 - P&G,503 - PG_SC,503 - P&G
7304 - P&G,MAG5104438,MSG5104502,7304 - P&G,7304 - PG_SC,7304 - P&G
7328 - P&G,MAG5104445,MSG5104509,7328 - P&G,7328 - PG_SC,7328 - P&G
7441 - P&G,MAG5104450,MSG5104514,7441 - P&G,7441 - PG_SC,7441 - P&G
B&DUK03,MAG5318363,MSG5318753,B&DUK03,BDUK03_SC,B&DUK03
K&N - Binh Duong,,,K&N - Binh Duong,KN - Binh Duong_SC,KN - Binh Duong_SC
7495 - P&G,MAG5104458,MSG5104522,7495 - P&G,7495 - PG_SC,7495 - P&G
B&D Brazil3,,,B&D Brazil3,BD Brazil3_SC,BD Brazil3_SC
E&V,MAG4319867,MSG4320242,E&V,EV_SC,E&V
K&N-HK Kwai Chung,,,K&N-HK Kwai Chung,KN-HK Kwai Chung_SC,KN-HK Kwai Chung_SC
B&D Brazil 2,MAG5318316,MSG5318701,B&D Brazil 2,BD Brazil 2_SC,B&D Brazil 2
B&DKR01,MAG5318350,MSG5318740,B&DKR01,BDKR01_SC,B&DKR01
171 - P&G,MAG5104408,MSG5104469,171 - P&G,171 - PG_SC,171 - P&G
178 - P&G,MAG5104409,MSG5104470,178 - P&G,178 - PG_SC,178 - P&G
217 - P&G,MAG5104412,MSG5104473,217 - P&G,217 - PG_SC,217 - P&G
K&N-India Bangalore Shopping Complex,MAY4126956,MSY4131768,K&N-India Bangalore Shopping Complex,KN-India Bangalore Shopping Complex_SC,K&N-India Bangalore Shopping Complex
7290 - P&G,MAG5104436,MSG5104500,7290 - P&G,7290 - PG_SC,7290 - P&G
7522 - P&G,MAG5104467,MSG5104531,7522 - P&G,7522 - PG_SC,7522 - P&G
8703 - P&G,MAG5104480,MSG5104544,8703 - P&G,8703 - PG_SC,8703 - P&G
8824 - P&G,MAG5104481,MSG5104545,8824 - P&G,8824 - PG_SC,8824 - P&G
8826 - P&G,MAG5104482,MSG5104546,8826 - P&G,8826 - PG_SC,8826 - P&G
9903 - P&G,MAG5104486,MSG5104550,9903 - P&G,9903 - PG_SC,9903 - P&G
0296a - P&G,MAG5104407,MSG5104468,0296a - P&G,0296a - PG_SC,0296a - P&G
BT82 - P&G,MAG5104493,MSG5104558,BT82 - P&G,BT82 - PG_SC,BT82 - P&G
K&N-Japan Nagoya Select DSL,,,K&N-Japan Nagoya Select DSL,KN-Japan Nagoya Select DSL_SC,KN-Japan Nagoya Select DSL_SC
K&N-Taoyuan,,,K&N-Taoyuan,KN-Taoyuan_SC,KN-Taoyuan_SC
K&N-Japan Chiba Internet VPN,,,K&N-Japan Chiba Internet VPN,KN-Japan Chiba Internet VPN_SC,KN-Japan Chiba Internet VPN_SC
L'OREAL R&D SOLON,,,L'OREAL R&D SOLON,LOREAL RD SOLON_SC,LOREAL RD SOLON_SC
"Allen & Overy Bratislava, s.r.o.",,,"Allen & Overy Bratislava, s.r.o.","Allen  Overy Bratislava, s.r.o._SC","Allen  Overy Bratislava, s.r.o._SC"
K&N-Ha Noi,CI00029011,CI00028902,K&N-Ha Noi,KN-Ha Noi_SC,K&N-Ha Noi
K&N-India Mumbai Thane,CI00016020,CI00015940,K&N-India Mumbai Thane,KN-India Mumbai Thane_SC,K&N-India Mumbai Thane
D&O DE2 LOREAL DEUTSCHLAND GMBH,,,D&O DE2 LOREAL DEUTSCHLAND GMBH,DO DE2 LOREAL DEUTSCHLAND GMBH_SC,DO DE2 LOREAL DEUTSCHLAND GMBH_SC
D&O DE LOREAL DEUTSCHLAND GMBH,,,D&O DE LOREAL DEUTSCHLAND GMBH,DO DE LOREAL DEUTSCHLAND GMBH_SC,DO DE LOREAL DEUTSCHLAND GMBH_SC
491 - P&G,MAG5104419,MSG5104481,491 - P&G,491 - PG_SC,491 - P&G
431 BT P&G,MAG5104415,MSG5104476,431 BT P&G,431 BT PG_SC,431 BT P&G
9523 BT P&G,MAG5104485,MSG5104549,9523 BT P&G,9523 BT PG_SC,9523 BT P&G
Marlink AS,CI00022050,CI00021958,"P&O Ferries, Dover","PO Ferries, Dover_SC",Marlink AS
B&DUK02,MAG5318362,MSG5318752,B&DUK02,BDUK02_SC,B&DUK02
K&N-Tianjin Warehouse Select DSL,,,K&N-Tianjin Warehouse Select DSL,KN-Tianjin Warehouse Select DSL_SC,KN-Tianjin Warehouse Select DSL_SC
B&DCH02,MAG5318327,MSG5318716,B&DCH02,BDCH02_SC,B&DCH02
STANDARD & POOR'S COMSTOCKS,,,STANDARD & POOR'S COMSTOCKS,STANDARD  POORS COMSTOCKS_SC,STANDARD  POORS COMSTOCKS_SC
6348 - P&G,,,6348 - P&G,6348 - PG_SC,6348 - PG_SC
6478 - P&G,MAG5104431,MSG5104495,6478 - P&G,6478 - PG_SC,6478 - P&G
7325 - P&G,MAG5104444,MSG5104508,7325 - P&G,7325 - PG_SC,7325 - P&G
7381 - P&G,MAG5104447,MSG5104511,7381 - P&G,7381 - PG_SC,7381 - P&G
7382 - P&G,MAG5104448,MSG5104512,7382 - P&G,7382 - PG_SC,7382 - P&G
7442 - P&G,MAG5104451,MSG5104515,7442 - P&G,7442 - PG_SC,7442 - P&G
DSL_Recaro Aircraft Seating Gmbh&Co_reca,,,DSL_Recaro Aircraft Seating Gmbh&Co_reca,DSL_Recaro Aircraft Seating GmbhCo_re_SC,DSL_Recaro Aircraft Seating GmbhCo_re_SC
K&N-China Taicang,,,K&N-China Taicang,KN-China Taicang_SC,KN-China Taicang_SC
IN_AREVA_T&D_Chennai,,,IN_AREVA_T&D_Chennai,IN_AREVA_TD_Chennai_SC,IN_AREVA_TD_Chennai_SC
"THE BANK OF BUTTERFIELD & SON LTD 	",,,"THE BANK OF BUTTERFIELD & SON LTD 	","THE BANK OF BUTTERFIELD  SON LTD 	_SC","THE BANK OF BUTTERFIELD  SON LTD 	_SC"
K&N-China Nanjing,CI00038396,CI00038192,K&N-China Nanjing,KN-China Nanjing_SC,K&N-China Nanjing
K&N-Tianjin (2),CI00018823,CI00018741,K&N-Tianjin (2),KN-Tianjin (2)_SC,K&N-Tianjin (2)
ANC-P & O Maritime Australia,CI00052979,CI00052645,ANC-P & O Maritime Australia,ANC-P  O Maritime Australia_SC,ANC-P & O Maritime Australia
ANC-Rouse & Co. UK London,MAG5320678,MSG5321165,ANC-Rouse & Co. UK London,ANC-Rouse  Co. UK London_SC,ANC-Rouse & Co. UK London
B&DCH04,MAG5318329,MSG5318718,B&DCH04,BDCH04_SC,B&DCH04
IN006 - Carrefour Wholesale Cash & Carry,MAG4212562,MSG4212744,IN006 - Carrefour Wholesale Cash & Carry,IN006 - Carrefour Wholesale Cash  Car_SC,IN006 - Carrefour Wholesale Cash & Carry
B&DCH05,MAG5318330,MSG5318719,B&DCH05,BDCH05_SC,B&DCH05
K&N-Chengdu,CI00038968,CI00038760,K&N-Chengdu,KN-Chengdu_SC,K&N-Chengdu
K&N-China Zhengzhou,,,K&N-China Zhengzhou,KN-China Zhengzhou_SC,KN-China Zhengzhou_SC
B&DJP01,MAG5318347,MSG5318737,B&DJP01,BDJP01_SC,B&DJP01
CNGUA-109TIY,MAG5324087,MSG5324678,Saatchi&Saatchi Guangzhou_dbscc1588,SaatchiSaatchi Guangzhou_dbscc1588_SC,CNGUA-109TIY
B&D Australia 2,MAG5318315,MSG5318700,B&D Australia 2,BD Australia 2_SC,B&D Australia 2
D&O AT LOREAL WIEN,MAG4209421,MSG4209590,D&O AT LOREAL WIEN,DO AT LOREAL WIEN_SC,D&O AT LOREAL WIEN
K&N-India Kolkata,CI00046178,CI00045909,K&N-India Kolkata,KN-India Kolkata_SC,K&N-India Kolkata
ANC-John Wiley & Sons China BJ,MAG5320322,MSG5320790,ANC-John Wiley & Sons China BJ,ANC-John Wiley  Sons China BJ_SC,ANC-John Wiley & Sons China BJ
039 CANON COMMUNICATION & IMAGE [RCC]_Fr,MAG5319221,MSG5319627,039 CANON COMMUNICATION & IMAGE [RCC]_Fr,039 CANON COMMUNICATION  IMAGE [RCC]__SC,039 CANON COMMUNICATION & IMAGE [RCC]_Fr
"E&Y - Kuala Lumpur, MY",,,"E&Y - Kuala Lumpur, MY","EY - Kuala Lumpur, MY_SC","EY - Kuala Lumpur, MY_SC"
K&N-HK Kwai Chung (2),,,K&N-HK Kwai Chung (2),KN-HK Kwai Chung (2)_SC,KN-HK Kwai Chung (2)_SC
K&N-China Beijing Chaoyang District,CI00018814,CI00018732,K&N-China Beijing Chaoyang District,KN-China Beijing Chaoyang District_SC,K&N-China Beijing Chaoyang District
ANC-Deloitte & Touche Singapore,CI00056535,CI00056172,ANC-Deloitte & Touche Singapore,ANC-Deloitte  Touche Singapore_SC,ANC-Deloitte & Touche Singapore
AXA - HK Wharf T&T Tower,,,AXA - HK Wharf T&T Tower,AXA - HK Wharf TT Tower_SC,AXA - HK Wharf TT Tower_SC
METH_Air Berlin PLC & Co_KGD_Altea_DCS_1,,,METH_Air Berlin PLC & Co_KGD_Altea_DCS_1,METH_Air Berlin PLC  Co_KGD_Altea_DCS_SC,METH_Air Berlin PLC  Co_KGD_Altea_DCS_SC
BD001b - Global Sourcing Asia & Banglade,MAG4207699,MSG4207847,BD001b - Global Sourcing Asia & Banglade,BD001b - Global Sourcing Asia  Bangla_SC,BD001b - Global Sourcing Asia & Banglade
B&DKR02,,,B&DKR02,BDKR02_SC,BDKR02_SC
B&DCH13,MAG5318337,MSG5318726,B&DCH13,BDCH13_SC,B&DCH13
Verwoerd & Embankment_002776,MAG5316557,MSG5316902,Verwoerd & Embankment_002776,Verwoerd  Embankment_002776_SC,Verwoerd & Embankment_002776
B&D Brazil4,MAG5318317,MSG5318703,B&D Brazil4,BD Brazil4_SC,B&D Brazil4
B&dKR03,MAG5318365,MSG5318755,B&dKR03,BdKR03_SC,B&dKR03
IN-MUM-WAN-01 & 02.,MAY5136442,MSY5135330,IN-MUM-WAN-01 & 02,IN-MUM-WAN-01  02_SC,IN-MUM-WAN-01 & 02.
K&N-China Wuhan,MAY4127150,MSY4131962,K&N-China Wuhan,KN-China Wuhan_SC,K&N-China Wuhan
9319_CHN_Xi'an_001,CI00006550,CI00006508,K&N-China Xi An,KN-China Xi An_SC,9319_CHN_Xi'an_001
K&N-Shenzhen Yantian Internet VPN,CI00046164,CI00045895,K&N-Shenzhen Yantian Internet VPN,KN-Shenzhen Yantian Internet VPN_SC,K&N-Shenzhen Yantian Internet VPN
MS&L Shanghai_dbscc1587,,,MS&L Shanghai_dbscc1587,MSL Shanghai_dbscc1587_SC,MSL Shanghai_dbscc1587_SC
ANC-DSV Air & Sea Asia Korea Incheon,MAG5319886,MSG5320328,ANC-DSV Air & Sea Asia Korea Incheon,ANC-DSV Air  Sea Asia Korea Incheon_SC,ANC-DSV Air & Sea Asia Korea Incheon
10254_USA_Coral Gables_001,CI00013270,CI00013197,Richemont_LatinAmerica & Caribbean,Richemont_LatinAmerica  Caribbean_SC,10254_USA_Coral Gables_001
DSL_Air Berlin Plc & Co._PFMO048,,,DSL_Air Berlin Plc & Co._PFMO048,DSL_Air Berlin Plc  Co._PFMO048_SC,DSL_Air Berlin Plc  Co._PFMO048_SC
ServiceNet_CSBU RTI Innovation&Plannin,,,ServiceNet_CSBU RTI Innovation&Plannin,ServiceNet_CSBU RTI InnovationPlannin_SC,ServiceNet_CSBU RTI InnovationPlannin_SC
Premier DSL_Air Berlin Plc & Co_326,,,Premier DSL_Air Berlin Plc & Co_326,Premier DSL_Air Berlin Plc  Co_326_SC,Premier DSL_Air Berlin Plc  Co_326_SC
K&N - Thu Duc Dist,,,K&N - Thu Duc Dist,KN - Thu Duc Dist_SC,KN - Thu Duc Dist_SC
B&DKR04,MAG5318352,MSG5318742,B&DKR04,BDKR04_SC,B&DKR04
MY3PNP01 - Li & Fung Logistics,,,MY3PNP01 - Li & Fung Logistics,MY3PNP01 - Li  Fung Logistics_SC,MY3PNP01 - Li  Fung Logistics_SC
K&N-China Wuhan (2),MAY4142336,MSY4157356,K&N-China Wuhan (2),KN-China Wuhan (2)_SC,K&N-China Wuhan (2)
K&N-India Pune Ghorpadi,,,K&N-India Pune Ghorpadi,KN-India Pune Ghorpadi_SC,KN-India Pune Ghorpadi_SC
K&N-New Zealand Christchurch Hornby,,,K&N-New Zealand Christchurch Hornby,KN-New Zealand Christchurch Hornby_SC,KN-New Zealand Christchurch Hornby_SC
B&DMX04,MAG5318356,MSG5318746,B&DMX04,BDMX04_SC,B&DMX04
K&N-Chongqing DSL 2,CI00001344,CI00001339,K&N-Chongqing DSL 2,KN-Chongqing DSL 2_SC,K&N-Chongqing DSL 2
ANC-GS E&C Korea Seoul,MAG5320068,MSG5320522,ANC-GS E&C Korea Seoul,ANC-GS EC Korea Seoul_SC,ANC-GS E&C Korea Seoul
ANC-GS E&C Indonesia,MAG5320067,MSG5320521,ANC-GS E&C Indonesia,ANC-GS EC Indonesia_SC,ANC-GS E&C Indonesia
C&W NEW YORK,CI00013793,CI00013719,C&W NEW YORK,CW NEW YORK_SC,C&W NEW YORK
K&N-New Zealand Christchurch,,,K&N-New Zealand Christchurch,KN-New Zealand Christchurch_SC,KN-New Zealand Christchurch_SC
B&DMX07,,,B&DMX07,BDMX07_SC,BDMX07_SC
Publicis Saatchi & Saatchi Hong Kong,,,Publicis Saatchi & Saatchi Hong Kong,Publicis Saatchi  Saatchi Hong Kong_SC,Publicis Saatchi  Saatchi Hong Kong_SC
IN008 - Carrefour WC&C India Pvt. Ltd,MAG4212567,MSG4212749,IN008 - Carrefour WC&C India Pvt. Ltd,IN008 - Carrefour WCC India Pvt. Ltd_SC,IN008 - Carrefour WC&C India Pvt. Ltd
Bird & Bird Brussels,,,Bird & Bird Brussels,Bird  Bird Brussels_SC,Bird  Bird Brussels_SC
IPVPN_TAMSAO-Admin1 & TAMSAO-Admin2,,,IPVPN_TAMSAO-Admin1 & TAMSAO-Admin2,IPVPN_TAMSAO-Admin1  TAMSAO-Admin2_SC,IPVPN_TAMSAO-Admin1  TAMSAO-Admin2_SC
K&N-Indonesia Semarang,CI00021300,CI00021209,K&N-Indonesia Semarang,KN-Indonesia Semarang_SC,K&N-Indonesia Semarang
B&DAUST05,,,B&DAUST05,BDAUST05_SC,BDAUST05_SC
ANC-Deloitte & Touche PH,MAG5319902,MSG5320344,ANC-Deloitte & Touche PH,ANC-Deloitte  Touche PH_SC,ANC-Deloitte & Touche PH
DSL_Air Berlin Plc & Co._PFAO081,,,DSL_Air Berlin Plc & Co._PFAO081,DSL_Air Berlin Plc  Co._PFAO081_SC,DSL_Air Berlin Plc  Co._PFAO081_SC
K&N-Chengdu (2),CI00044188,CI00043933,K&N-Chengdu (2),KN-Chengdu (2)_SC,K&N-Chengdu (2)
CU for Industrial&commercial bank of chi,MAG5208221,MSG5208379,CU for Industrial&commercial bank of chi,CU for Industrialcommercial bank of c_SC,CU for Industrial&commercial bank of chi
B&DCH14,,,B&DCH14,BDCH14_SC,BDCH14_SC
B&DCH11,MAG5318335,MSG5318724,B&DCH11,BDCH11_SC,B&DCH11
B&DJP03,MAG5318349,MSG5318739,B&DJP03,BDJP03_SC,B&DJP03
E&Y - Hangzhou China,,,E&Y - Hangzhou China,EY - Hangzhou China_SC,EY - Hangzhou China_SC
B&DAUST06,,,B&DAUST06,BDAUST06_SC,BDAUST06_SC
B&DAUST07,MAG5318322,MSG5318711,B&DAUST07,BDAUST07_SC,B&DAUST07
B&DAUST08,MAG5318323,MSG5318712,B&DAUST08,BDAUST08_SC,B&DAUST08
B&DMX03,MAG5318355,MSG5318745,B&DMX03,BDMX03_SC,B&DMX03
ANC-NTT (H&R ANZ) AUS Laverton,CI00092227,CI00091574,ANC-NTT (H&R ANZ) AUS Laverton,ANC-NTT (HR ANZ) AUS Laverton_SC,ANC-NTT (H&R ANZ) AUS Laverton
Allianz Managed Operations & Services SE,MAG5316407,MSG5316752,Allianz Managed Operations & Services SE,Allianz Managed Operations  Services _SC,Allianz Managed Operations & Services SE
K&N-Bangladesh Dhaka,CI00046840,CI00046563,K&N-Bangladesh Dhaka,KN-Bangladesh Dhaka_SC,K&N-Bangladesh Dhaka
K&N-Bangladesh Chittagong,,,K&N-Bangladesh Chittagong,KN-Bangladesh Chittagong_SC,KN-Bangladesh Chittagong_SC
K&N-Australia Melbourne,,,K&N-Australia Melbourne,KN-Australia Melbourne_SC,KN-Australia Melbourne_SC
K&N-New Zealand Tauranga,,,K&N-New Zealand Tauranga,KN-New Zealand Tauranga_SC,KN-New Zealand Tauranga_SC
K&N-Australia Toombull,,,K&N-Australia Toombull,KN-Australia Toombull_SC,KN-Australia Toombull_SC
